,地区,人均GDP,城镇人口比重,交通工具消费价格指数,百户拥有汽车量,聚合
1,天津,8.34,80.5,103.57,20.62,3
8,上海,8.18,89.3,101.58,18.15,3
30,新疆,2.99,43.54,100.97,12.32,2
2,河北,3.39,45.6,99.03,23.32,2
3,山西,3.13,49.68,98.96,18.6,2
29,宁夏,3.29,49.82,100.99,12.4,2
6,吉林,3.84,53.4,97.15,11.24,2
19,广西,2.52,41.8,102.28,17.24,2
22,四川,2.61,41.83,99.76,12.52,2
11,安徽,2.56,44.8,100.25,9.2,2
24,云南,1.92,36.8,96.25,23.32,2
23,贵州,1.64,34.96,100.71,10.48,1
21,重庆,3.43,55.02,99.12,10.44,1
26,陕西,3.34,47.3,101.59,12.22,1
25,西藏,2.0,22.71,99.95,25.3,1
27,甘肃,1.96,37.15,100.54,7.33,1
28,青海,2.94,46.22,100.46,6.08,1
20,海南,2.88,50.5,102.26,15.82,1
15,河南,2.87,40.57,100.59,14.06,1
17,湖南,2.98,45.1,100.02,12.82,1
16,湖北,3.41,51.83,101.15,9.69,1
13,江西,2.61,45.7,100.91,8.88,1
12,福建,4.72,58.1,100.75,17.83,1
7,黑龙江,3.28,56.5,100.54,5.29,1
5,辽宁,5.07,64.05,100.12,11.15,1
18,广东,5.07,66.5,97.55,30.71,0
14,山东,4.71,50.95,98.5,28.12,0
10,浙江,5.92,62.3,96.69,33.85,0
9,江苏,6.22,61.9,98.95,23.92,0
4,内蒙古,5.79,56.62,99.11,19.62,0
0,北京,8.05,86.2,95.92,37.71,0
